claim_id,claim_text,evidence_class,phase_source,artifact_source,metric_or_fact,scope,limitations,permitted_wording,prohibited_wording
dataset_audit,"The study uses the UCI Beijing Multi-Site Air-Quality dataset (ID 501), 12 stations, 420,768 hourly rows, 2013-03-01 to 2017-02-28, with every source CSV hash-pinned.",C5,Phase 0,artifacts/v2_foundation_manifest.json,420768 rows; 12 stations,whole dataset,Raw missingness is documented; no imputation at source.,The dataset and its integrity checks are hash-pinned.,Any claim the data were cleaned or corrected.
chronological_split,"Train, validation and locked test are contiguous chronological blocks partitioned by target timestamp.",C5,Phase 2,artifacts/phase10_dataset_ledger.json,train 2013-03 to 2015-02; validation 2015-03 to 2016-02; test 2016-03 to 2017-02,whole study,Early test targets legitimately have origins inside validation.,"Partitioning is by target timestamp, not by origin.",Any claim of random splitting.
test_sealing,"The final test was sealed until Phase 8 and opened once, after an authorization receipt, with zero future-target access violations.",C5,Phase 8,artifacts/final_test_opening_receipt.json;artifacts/phase8_prediction_lock.json,future_target_access_violations = 0,locked test,Predictions were frozen and hashed before any metric was seen.,The test was opened once under a pre-registered hierarchy.,Any claim of repeated test evaluation.
causal_features,Every model input obeys timestamp <= forecast origin; future observed meteorology and pollutants are prohibited.,C5,Phase 2-8,artifacts/phase10_information_regime_ledger.json,"1,233,036 index checks, 0 violations",all models,Deterministic future calendar is permitted by design.,Inputs are strictly causal with respect to the forecast origin.,Any claim that future weather was used.
b3r2_locked,On the locked final test B3_R2 achieved a macro station-horizon MAE of 31.98722559774534.,C1,Phase 8,artifacts/phase8_primary_results_lock.json,31.98722559774534,"411,012 test samples, 48 cells","Single test period, one city.",This is the primary confirmatory result.,Any restatement as an average across studies.
b0_comparison,B3_R2 improved macro station-horizon MAE relative to causal persistence B0 on the locked test.,C1,Phase 8,artifacts/phase8_primary_results_lock.json,B3_R2 31.98722559774534 vs B0 36.138513538776856,"411,012 test samples",No inferential interval was predeclared.,B3_R2 improved on persistence at every horizon.,Any significance or confidence claim.
gru_severe,"On the locked test GRU_R1 seed 42 achieved a severe MAE of 109.3328897571946 over 20,336 severe samples.",C1,Phase 8,artifacts/phase8_primary_results_lock.json,109.3328897571946; n=20336,actual PM2.5 > 244.0,The evaluated artifact is a single seed; Phase 7 showed large severe-tail seed spread.,This is the prespecified secondary confirmatory result.,Any claim it beats the reference benchmark.
persistence_severe,Causal persistence B0 had the lowest severe MAE on the locked test at 93.22447875688434.,C1,Phase 8,artifacts/phase8_primary_results_lock.json,93.22447875688434,actual PM2.5 > 244.0,B0 remains the reference benchmark and is not promoted.,Persistence remained the strongest severe benchmark.,Any claim that persistence is the recommended model.
h1,Target PM2.5 history improves forecasting.,C2,Phase 3-4,artifacts/phase10_hypothesis_ledger.json,B3_R0 40.623282 -> B3_R1 30.472594,development validation,Not retested on the locked test.,Supported on development validation.,Confirmed on the final test.
h2,The benefit of PM2.5 history is largest at short horizons.,C2,Phase 3-4,artifacts/phase10_hypothesis_ledger.json,largest R0->R1 gain at h=1,development validation,Not retested on the locked test.,Supported on development validation.,Confirmed on the final test.
h3,Co-pollutant history provides additional predictive value.,C2,Phase 3-5,artifacts/phase10_hypothesis_ledger.json,"improves B3 only; degrades GRU, TCN and iTransformer",development validation,Direction depends on model family.,"Weak, model-dependent development support.",Co-pollutants generally improve forecasting.
h4,Cross-station information provides additional predictive value.,C2,Phase 6-7,artifacts/phase10_hypothesis_ledger.json,SA_R3 better than SA_R2 in 5/5 paired seeds; +2.193123% overall,development validation and multi-seed robustness,h=24 direction not reliable across seeds; not retested on the locked test.,Robustly supported on development and robustness evidence.,Geographic propagation or locked-test confirmation.
h5,Modern methods reduce severe-tail error (hypothesis status).,C2,Phase 4-9,artifacts/phase10_hypothesis_ledger.json,"development severe MAE: GRU_R1 118.965, SA_R3 121.270, B3_R2 136.612, B0 101.273",development validation; hypothesis status only,"The locked-test outcome is carried separately by the C1 claims gru_severe and persistence_severe, where persistence remained the strongest severe benchmark. This row states hypothesis status, not a confirmatory result.",Partially supported against some learned and engineered models.,"The severe-tail problem is addressed, or H5 was confirmed."
seed_instability,Severe-tail metrics vary substantially across training seeds.,C2,Phase 7,artifacts/phase10_table_multiseed_robustness.csv,severe-tail spread of roughly 29-35 ug/m3 across five seeds,stochastic models,"Five seeds only; descriptive, not inferential.",Single-seed severe claims should be treated as provisional.,Any confidence interval framing.
loso,"Withholding a station's training targets produced a small mean penalty, with several stations improving when held out.",C2,Phase 7,artifacts/phase7_pretest_freeze.json,mean relative penalty +0.134022%; 5/12 stations improved,"leave-one-station-out, seed 42",The held-out station's causal historical observations remained available to the shared encoder.,Held-out target-station supervision transfer with causal historical observations from the held-out station available.,Completely unseen-station forecasting.
spatial_attention,Cross-station attention was not proximity-driven.,C2,Phase 7,artifacts/phase7_spatial_analysis.json,"Spearman(distance, attention) = 0.136289",12 stations,"Coordinates were used for descriptive diagnostics only, never as a model input.",Attention weights showed no proximity relationship.,Learned pollution propagation or spatial reasoning.
foundation_models,"No foundation model was executed, for pretraining-overlap and licensing reasons.",C5,Phase 5,artifacts/phase10_foundation_model_governance.json,foundation_models_executed = 0,study scope,"This is a governance outcome, not a measured model result.",No eligible foundation model could be evaluated under the study's constraints.,Foundation models failed or performed poorly.
residual_acf,Substantial short-lag residual dependence remains after forecasting.,C3,Phase 9,artifacts/phase9_residual_acf_summary.csv;artifacts/phase9_post_test_analysis_summary.json,lag-1 residual ACF approximately 0.95-0.96 at h=24,post-test exploratory,Association only; no causal mechanism is established.,Substantial unresolved temporal structure remains in the locked predictions.,Any claim the models fail because autocorrelation is high.
severe_events,At long horizons the models under-predict severe event peaks and rarely flag event onset.,C3,Phase 9,artifacts/phase9_severe_event_model_analysis.csv;artifacts/phase9_post_test_analysis_summary.json,586 events; at h=24 B3_R2 under-predicted the peak in 100% and flagged onset in 0.3%,post-test exploratory,Operational usability was never formally defined or tested.,The frozen severe-event diagnostics are insufficient to establish early-warning capability at 24 h under the fixed 244.0 threshold.,The models are or are not operationally ready.
seasonality,Severe hours and error concentrate in winter.,C3,Phase 9,artifacts/phase9_seasonal_error_analysis.csv,"DJF holds 3,120 of the h=24 severe hours against 28 in JJA",post-test exploratory,"Descriptive stratification, not a predeclared endpoint.",Severe error is associated with the winter season.,Any seasonal forecasting claim.
complementarity,"The three models largely fail on the same samples, but persistence is complementary in the severe tail.",C3,Phase 9,artifacts/phase9_error_complementarity.csv,absolute-error correlation 0.67-0.87; B0 strictly best on 52.88% of severe samples,post-test exploratory,"No ensemble, oracle or weighting was constructed.",Error complementarity was measured descriptively.,Any ensemble performance claim.
v1_v2,AirSense V1 and V2 share two failure modes despite being different tasks.,C4,Phase 9,docs/PHASE_09_V1_V2_FAILURE_MODE_COMPARISON.md,severe under-prediction and residual autocorrelation recur,qualitative / structural only,V1 was concurrent-hour estimation with a different severe threshold; metric comparison is invalid.,Structural continuity of failure modes.,Any cross-study percentage improvement.
